ID,KeyName,Name_KR,Detail_KR,Effect_KR,Name_EN,Detail_EN,Effect_EN,Name_JP,Detail_JP,Effect_JP,Name_SC,Detail_SC,Effect_SC,Name_TC,Detail_TC,Effect_TC
,,,,,,,,,,,,,,,,
0,DungeonMaster_Temp,던전 마스터의 증표 (임시),던전에 관련된 내용이 기록된 계약서. \30일 동안 A랭크 던전으로 만들어야 한다고 쓰여 있다. \그 아래에 작게 쓰여 있는 내용은... 신경 쓰지 말자.,,Dungeon Master's Proof (Temporary),A contract with recorded dungeon details. \States that it must become an A-rank dungeon within 30 days. \The fine print below... let's not worry about that.,,ダンジョンマスターの証明 (仮),ダンジョンに関する内容が記された契約書。\30日以内にAランクダンジョンにしなければならないと書かれています。\下の小さな文字は...気にしないことにしましょう。,,地下城主之证明 (临时),记载着地下城相关内容的契约书。\写着必须在30天内将其打造成A级地下城。\至于下面的小字...还是别在意了。,,地下城主之證明 (臨時),記載著地下城相關內容的契約書。\寫著必須在30天內將其打造成A級地下城。\至於下面的小字...還是別在意了。,
,,,,,,,,,,,,,,,,
10,Racing,[던전경주] 인증서,이 던전은 [던전경주]를 하기에 적합한 던전이므로 이 인증서를 부여합니다. \^던전 레이서 협회^,매 턴 인기도 +5,Dungeon Racing Certificate,This dungeon is certified as suitable for Dungeon Racing. \^Dungeon Racer Association^,+5 Popularity per turn,ダンジョンレース認定証,このダンジョンはダンジョンレースに適したダンジョンとして認定します。\^ダンジョンレーサー協会^,毎ターン人気度 +5,地下城竞速认证书,特此证明此地下城适合进行地下城竞速赛。\^地下城竞速者协会^,每回合人气度 +5,地下城競速認證書,特此證明此地下城適合進行地下城競速賽。\^地下城競速者協會^,每回合人氣度 +5
,,,,,,,,,,,,,,,,
20,SoothsayerOrb,점쟁이 구슬,능력이 제한적이긴 하지만- 미래를 볼 수 있는 신비로운 아티팩트입니다. \어느 모험가에게서 받았습니다.,다음번에 발생할 랜덤 이벤트를 알 수 있음,Soothsayer Orb,A mysterious artifact that can see the future - although its abilities are limited. \You received it from an adventurer.,Reveals the next random event that will occur,占い師の水晶球,能力は限られていますが、未来を見ることができる神秘的なアーティファクトです。\ある冒険者から受け取りました。,次に発生するランダムイベントを知ることができます,算命师水晶球,一件神秘的神器，虽然能力有限，但可以看到未来。\你从一位冒险者那里得到它。,可以预知下一次将发生的随机事件,算命師水晶球,一件神秘的神器，雖然能力有限，但可以看到未來。\你從一位冒險者那裡得到它。,可以預知下一次將發生的隨機事件
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
80,LvBook_1,한계 돌파의 책 (C),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +3 (최대 99),Limit Break Book (C),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +3 (Max 99),限界突破の書 (C),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +3 (最大99),突破极限之书 (C),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +3 (最大99),突破極限之書 (C),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +3 (最大99)
81,LvBook_2,한계 돌파의 책 (B),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +6 (최대 99),Limit Break Book (B),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +6 (Max 99),限界突破の書 (B),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +6 (最大99),突破极限之书 (B),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +6 (最大99),突破極限之書 (B),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +6 (最大99)
82,LvBook_3,한계 돌파의 책 (A),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +9 (최대 99),Limit Break Book (A),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +9 (Max 99),限界突破の書 (A),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +9 (最大99),突破极限之书 (A),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +9 (最大99),突破極限之書 (A),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +9 (最大99)
83,LvBook_4,한계 돌파의 책 (S),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +12 (최대 99),Limit Break Book (S),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +12 (Max 99),限界突破の書 (S),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +12 (最大99),突破极限之书 (S),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +12 (最大99),突破極限之書 (S),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +12 (最大99)
84,LvBook_5,한계 돌파의 책 (SS),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +15 (최대 99),Limit Break Book (SS),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +15 (Max 99),限界突破の書 (SS),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +15 (最大99),突破极限之书 (SS),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +15 (最大99),突破極限之書 (SS),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +15 (最大99)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100,BananaBone,신기한 뼈,신비한 형태의 뼈 모양 아티팩트입니다. 절대 부서지지 않는다고 해요.,그레이하운드 진화 시 필요,Mystical Bone,A bone-shaped artifact of mysterious form. Said to be unbreakable.,Required for Greyhound evolution,神秘の骨,不思議な形をした骨型のアーティファクト。決して砕けないと言われています。,グレイハウンドの進化に必要,神秘骨,形状神秘的骨型神器。据说永不破碎。,灰猎犬进化所需,神秘骨,形狀神秘的骨型神器。據說永不破碎。,灰獵犬進化所需
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
200,Harp,천상의 하프,제대로 연주한다면 아무리 먼 거리라도 들린다고 하는 희귀 아티팩트 입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [강화] 상태 부여,Celestial Harp,It's a rare artifact that is said to be audible from any distance if played properly.  \One of the 10 Sacred Treasures.,Grant [Empower] status to allied units,天上のハープ,正しく演奏すれば、どんなに遠い距離でも聞こえるという希少なアーティファクトです。\第十代の秘宝の一つです。,味方ユニットに[強化]状態を付与,天界竖琴,据说如果正确演奏- 无论多远都能听到的稀有神器。\第十代秘宝之一。,对友方单位施加[强化]状态,天界豎琴,據說如果正確演奏- 無論多遠都能聽到的稀有神器。\第十代秘寶之一。,對友方單位施加[強化]狀態
201,Hourglass,마법의 모래시계,시간의 흐름에 간섭할 수 있는 희귀 아티팩트 입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [예리] 상태 부여,Magic Hourglass,It's a rare artifact that can interfere with the flow of time. \One of the 10 Sacred Treasures.,Grant [Sharp] status to allied units,魔法の砂時計,時の流れに干渉できる希少なアーティファクトです。\第十代の秘宝の一つです。,味方ユニットに[鋭利]状態を付与,魔法沙漏,可以干扰时间流动的稀有神器。\第十代秘宝之一。,对友方单位施加[锐利]状态,魔法沙漏,可以干擾時間流動的稀有神器。\第十代秘寶之一。,對友方單位施加[銳利]狀態
202,Lamp,요술램프,소원을 들어주는 전설의 요술램프 입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [수호] 상태 부여,Magic Lamp,It's the legendary lamp that grants wishes. \One of the 10 Sacred Treasures.,Grant [Guard] status to allied units,魔法のランプ,願いを叶えてくれるという伝説の魔法のランプです。\第十代の秘宝の一つです。,味方ユニットに[守護]状態を付与,魔法灯,据说能实现愿望的传说中的魔法灯。\第十代秘宝之一。,对友方单位施加[守护]状态,魔法燈,據說能實現願望的傳說中的魔法燈。\第十代秘寶之一。,對友方單位施加[守護]狀態
203,Mirror,진실의 거울,비춘 것의 진실된 모습을 드러내게 만드는 희귀 아티팩트 입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [가속] 상태 부여,Mirror of Truth,It's a rare artifact that reveals the true nature of anything it shines upon. \One of the 10 Sacred Treasures.,Grant [Haste] status to allied units,真実の鏡,映したものの真の姿を現す希少なアーティファクトです。\第十代の秘宝の一つです。,味方ユニットに[加速]状態を付与,真实之镜,能揭示被照射物真实面目的稀有神器。\第十代秘宝之一。,对友方单位施加[加速]状态,真實之鏡,能揭示被照射物真實面目的稀有神器。\第十代秘寶之一。,對友方單位施加[加速]狀態
204,Lyre,평화의 리라,평화를 불러온다고 알려진 전설의 리라입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [기회] 상태 부여,Lira of Peace,A legendary lyre known to bring peace. \One of the 10 Sacred Treasures.,Grant [Chance] status to allied units,平和のリラ,平和をもたらすと言われる伝説のリラです。\第十代の秘宝の一つです。,味方ユニットに[チャンス]状態を付与,和平里拉琴,据说能带来和平的传说中的里拉琴。\第十代秘宝之一。,对友方单位施加[机会]状态,和平里拉琴,據說能帶來和平的傳說中的里拉琴。\第十代秘寶之一。,對友方單位施加[機會]狀態
205,Pearl,해왕의 진주,고대부터 바닷속에 존재했던 보물인 해왕의 진주입니다. \제 10대 비보 중 하나입니다.,아군 유닛에게 [강건] 상태 부여,Sea King's Pearl,A treasure of the sea king that has existed in the ocean since ancient times. \One of the 10 Sacred Treasures.,Grant [Robust] status to allied units,海王の真珠,古代から海底に存在していた宝物である海王の真珠です。\第十代の秘宝の一つです。,味方ユニットに[頑健]状態を付与,海王珍珠,自古以来存在于海底的宝物- 海王的珍珠。\第十代秘宝之一。,对友方单位施加[强健]状态,海王珍珠,自古以來存在於海底的寶物- 海王的珍珠。\第十代秘寶之一。,對友方單位施加[強健]狀態
206,Cup,황금 잔,황금으로 만들어져 매우 값어치가 높은 물건이에요. \제 10대 비보 중 하나입니다.,마나 보너스 3%,Golden Goblet,An item made of gold that is very valuable. \One of the 10 Sacred Treasures.,Mana bonus 3%,黄金の杯,黄金で作られた非常に価値の高い物です。\第十代の秘宝の一つです。,マナボーナス 3%,黄金杯,由黄金制成的非常贵重的物品。\第十代秘宝之一。,魔力奖励 3%,黃金杯,由黃金製成的非常貴重的物品。\第十代秘寶之一。,魔力獎勵 3%
207,Coin,고대 금화,과거에 사용되었던 금화입니다. 실제 가치는 아무도 알 수 없어요. \제 10대 비보 중 하나입니다.,골드 보너스 3%,Ancient Gold Coins,Ancient gold coins used in the past. Their actual value is unknown to anyone. \One of the 10 Sacred Treasures.,Gold bonus 3%,古代の金貨,過去に使用されていた金貨です。実際の価値は誰にもわかりません。\第十代の秘宝の一つです。,ゴールドボーナス 3%,古代金币,过去使用的金币。实际价值无人知晓。,金币奖励 3%,古代金幣,過去使用的金幣。實際價值無人知曉。,金幣獎勵 3%
208,Cross,봉인된 십자가,무언가 강한 존재를 봉인할 때 사용된 십자가입니다. \제 10대 비보 중 하나입니다.,플레이어에게 [던전 마스터] 상태 부여,Sealed Cross,A cross used to seal a powerful entity. \One of the 10 Sacred Treasures.,Grant [Dungeon Master] status to player,封印された十字架,何か強力な存在を封印する際に使用された十字架です。\第十代の秘宝の一つです。,プレイヤーに[ダンジョンマスター]状態を付与,封印十字架,用于封印某种强大存在的十字架。\第十代秘宝之一。,对玩家施加[地下城主人]状态,封印十字架,用於封印某種強大存在的十字架。\第十代秘寶之一。,對玩家施加[地下城主人]狀態
209,Dice,운명의 주사위,굴리는 대로 운명이 정해진다고 하는 무서운 주사위입니다. \제 10대 비보 중 하나입니다.,포탈 이용시 마나 +1,Dice of Fate,Scary dice that determine fate when rolled. \One of the 10 Sacred Treasures.,+1 Mana when using portal,運命のサイコロ,振った通りに運命が決まるという恐ろしいサイコロです。\第十代の秘宝の一つです。,ポータル利用時にマナ +1,命运骰子,据说掷出的结果会决定命运的可怕骰子。\第十代秘宝之一。,使用传送门时魔力 +1,命運骰子,據說擲出的結果會決定命運的可怕骰子。\第十代秘寶之一。,使用傳送門時魔力 +1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
300,ProofOfHero,용사의 증표,선택받은 용사에게만 주어지는 아티팩트입니다. 세상에 단 하나밖에 없어요. \지닌 자에게 강인함을 부여합니다.,플레이어 강화,Hero's Mark,An artifact given only to chosen heroes. Only one exists in the world. \Grants fortitude to its bearer.,Strengthens player,勇者の証,選ばれし勇者にのみ与えられるアーティファクト。世界に一つだけ存在します。\持つ者に強靭さを授けます。,プレイヤーを強化,勇者之证,只授予被选中的勇者的神器。世间仅此一件。\赋予持有者强韧之力。,强化玩家,勇者之證,只授予被選中的勇者的神器。世間僅此一件。\賦予持有者強韌之力。,強化玩家
301,TouchOfDecay,부패의 손길,강력한 저주가 걸려있는 아티팩트입니다. \대상이 강할수록 강한 효과를 발휘합니다.,모험가에게 [저주] 상태 부여,Touch of Decay,An artifact bearing a powerful curse. \The stronger the target- the stronger its effect.,Inflict [Decay] status on adventurers,腐敗の手,強力な呪いが掛けられたアーティファクト。\対象が強いほど- 強い効果を発揮します。,冒険者に[呪い]状態を付与,腐朽之触,带有强大诅咒的神器。\目标越强大- 效果越显著。,对冒险者施加[诅咒]状态,腐朽之觸,帶有強大詛咒的神器。\目標越強大- 效果越顯著。,對冒險者施加[詛咒]狀態
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
400,OrbOfPopularity,물의 오브,밝은 기운을 뿜어내는 오브입니다. \모험가를 불러모으는 효과가 있어요.,매 턴마다 인기도 +10,Orb of Water,An orb radiating bright energy. \Has the effect of attracting adventurers.,+10 Popularity per turn,水のオーブ,明るい気を放つオーブ。\冒険者を引き寄せる効果があります。,毎ターン人気度 +10,水之宝珠,散发着光明气息的宝珠。\能吸引冒险者。,每回合人气度 +10,水之寶珠,散發著光明氣息的寶珠。\能吸引冒險者。,每回合人氣度 +10
401,OrbOfDanger,불의 오브,위험한 기운을 뿜어내는 오브입니다. \강한 모험가가 찾아올 수 있어요.,매 턴마다 위험도 +10,Orb of Fire,An orb emanating dangerous energy. \May attract powerful adventurers.,+10 Danger per turn,炎のオーブ,危険な気を放つオーブ。\強い冒険者が訪れる可能性があります。,毎ターン危険度 +10,火之宝珠,散发着危险气息的宝珠。\可能吸引强大的冒险者。,每回合危险度 +10,火之寶珠,散發著危險氣息的寶珠。\可能吸引強大的冒險者。,每回合危險度 +10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
410,MarbleOfReassurance,안심의 구슬,지니고 있는 것 만으로도 안심이 되는 아티팩트입니다.,매 턴마다 위험도 -5,Marble of Reassurance,An artifact that provides peace of mind just by possessing it.,-5 Danger per turn,安心の珠,所持しているだけで安心感を与えるアーティファクトです。,毎ターン危険度 -5,安心弹珠,仅仅持有就能带来安心感的神器。,每回合危险度 -5,安心彈珠,僅僅持有就能帶來安心感的神器。,每回合危險度 -5
411,MarbleOfOblivion,망각의 구슬,지니고 있는 것 만으로도 존재감이 옅어지는 아티팩트입니다.,매 턴마다 인기도 -5,Marble of Oblivion,An artifact that diminishes one's presence just by possessing it.,-5 Popularity per turn,忘却の珠,所持しているだけで存在感が薄くなるアーティファクトです。,毎ターン人気度 -5,遗忘弹珠,仅仅持有就会减弱存在感的神器。,每回合人气度 -5,遺忘彈珠,僅僅持有就會減弱存在感的神器。,每回合人氣度 -5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
